AC_YEAR,STATCD,STATNAME,DISTRICTS,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,P_URB_POP,POPULATION_0_6,GROWTHRATE,SEXRATIO,P_SC_POP,P_ST_POP,OVERALL_LI,FEMALE_LIT,MALE_LIT,AREA_SQKM,TOT_6_10_15,TOT_11_13_15,SCHTOT,,SCHTOTG,,,,,,,,,SCHTOTP,,,,,,,,,SCHTOTM,SCHTOTGR,SCHTOTGA,SCHTOTPR,SCHBOYTOT,ENRTOT,ENRTOTG,ENRTOTP,ENRTOTM,ENRTOTGR,ENRTOTPR,TCHTOTG,TCHTOTP,TCHTOTM,SCLSTOT,STCHTOT,ROADTOT,SPLAYTOT,SBNDRTOT,SGTOILTOT,SBTOILTOT,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMNTOT,ESTD1,ESTD2,ESTD3,ESTD4,ESTD5,ESTD6,ESTD7,ESTDTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT,ENR501,ENR502,ENR503,ENR504,ENR505,ENR506,ENR507,ENR50TOT,SMC1,SMC2,SMC3,SMC4,SMC5,SMC6,SMC7,SMCTOT,CLS1,CLS2,CLS3,CLS4,CLS5,CLS6,CLS7,CLSTOT,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCHTOT,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHF9,TCHFTOT,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,TCHMTOT,ENRG1,ENRG2,ENRG3,ENRG4,ENRG5,ENRG6,ENRG7,ENRGTOT
2015-16,11,SIKKIM,4,29,756,111,608,9.85,10.05,12.36,889,4.6,33.8,82.2,76.43,87.29,7096,59113,29539,1279,,870,,,,,,,,,409,,,,,,,,,0,841,873,340,1274,105297,73272,32025,0,64998,21469,10911,4166,0,10,3,1079,870,442,1193,1272,1260,485,319,80,1,6,131,4,1026,261,293,79,0,7,131,1,772,69,25,7,0,0,15,0,116,125,68,15,0,0,24,0,232,240,80,1,1,1,6,3,332,486,186,64,1,4,113,1,855,449,182,64,1,4,110,1,811,475,184,64,1,4,113,1,842,651,61,0,0,3,5,1,721,484,187,67,1,6,114,4,863,3493,3029,1167,3,46,1390,25,9153,4205,4495,3364,6,92,2869,46,15077,2218,2600,1879,3,19,1500,18,0,8237,1987,1895,1485,3,73,1369,28,6840,8757,16640,13061,74,400,12068,351,51351
2015-16,12,ARUNACHAL PRADESH,20,99,2982,234,1383,16.48,14.66,25.92,920,0,68.8,66.95,59.57,73.69,83743,174523,77791,4012,,3464,,,,,,,,,518,,,,,,,,,30,3244,3524,337,3922,322458,232903,87420,2135,186132,51483,15331,6051,202,152,1083,2646,1564,2108,3867,3750,3264,450,589,60,40,45,175,29,1388,96,501,63,25,52,193,33,963,338,231,13,6,9,37,11,645,401,277,16,6,12,50,16,778,1506,432,13,49,4,36,18,2058,2037,956,36,15,40,150,25,3259,1195,668,33,8,22,119,16,2061,1959,929,36,15,38,150,23,3150,1852,285,4,6,9,6,7,2169,2008,953,41,43,46,149,37,3277,8564,9020,820,202,304,2022,206,21138,5471,9283,1393,407,1132,3430,468,21584,2252,4227,492,242,324,1538,165,0,9240,3219,5056,901,165,808,1892,303,12344,41009,74770,8946,4591,3278,24364,2170,159128
2015-16,13,NAGALAND,11,47,1478,125,1981,17.31,14.44,-0.47,931,0,86.5,80.11,76.69,83.29,16579,239278,109124,2799,,2092,,,,,,,,,707,,,,,,,,,0,1895,2092,446,2797,349696,166596,183100,0,137510,87464,19212,11108,0,5,48,2298,1263,1896,2795,2760,2294,251,471,104,23,40,333,115,1337,70,365,103,30,41,346,157,1112,278,229,5,19,7,27,28,593,334,261,10,19,11,43,41,719,414,112,7,6,6,54,19,618,1039,553,1,34,36,71,154,1888,869,497,1,30,32,67,137,1633,985,540,1,34,35,69,148,1812,741,99,2,18,6,20,56,942,1127,577,5,38,43,82,172,2044,6588,6152,1772,167,256,3639,781,19355,7392,8861,3375,299,1438,6529,2426,30320,3564,4532,2108,102,702,3607,743,0,15358,3828,4329,1267,197,736,2922,1683,14962,31830,51191,32048,1312,3037,44844,7135,171460
2015-16,14,MANIPUR,9,35,2422,225,2722,21.16,12.98,18.65,987,3.8,35.1,79.85,73.17,86.49,22327,263906,121088,4865,,3308,,,,,,,,,1432,,,,,,,,,125,2995,3881,1115,4829,502596,188020,301111,13465,163862,209572,19803,17835,1298,35,330,4084,2602,1412,4799,4765,4848,246,466,100,27,21,587,115,1562,64,360,96,25,21,588,115,1269,1103,302,16,11,10,181,79,1702,1192,330,16,12,10,211,82,1853,959,132,13,25,3,100,5,1237,2566,527,16,32,9,248,137,3535,1036,259,12,16,7,115,71,1516,2289,488,16,31,8,235,135,3202,2318,232,2,24,2,39,61,2678,2857,529,21,52,18,255,144,3876,10935,6594,1456,247,124,7014,604,26974,11874,8319,3189,392,703,12531,1928,38936,5707,4150,1596,170,326,6259,993,0,19201,6167,4169,1593,222,377,6272,935,19735,57881,50696,26922,2566,1723,101535,7361,248684
2015-16,15,MIZORAM,8,36,851,169,1091,40.42,15.17,22.78,975,0.1,94.4,91.58,89.4,93.72,21081,118153,51193,3072,,2277,,,,,,,,,791,,,,,,,,,4,1711,2355,480,3067,214317,112402,101818,97,82420,39836,11712,6750,20,7,77,2898,1971,1654,3048,2995,2848,769,308,0,786,0,0,0,1863,133,189,0,588,0,0,0,910,443,20,0,415,0,0,0,878,552,120,0,530,0,0,0,1202,361,257,0,360,0,0,0,978,1317,1,0,1025,0,0,0,2343,1276,1,0,1000,0,0,0,2277,1300,1,0,1022,0,0,0,2323,971,55,0,632,0,0,0,1658,1317,1,0,1026,0,0,0,2344,6593,3267,0,4575,0,0,0,14435,6189,4272,0,8021,0,0,0,18482,3094,2446,0,3069,0,0,0,0,8609,3095,1826,0,4952,0,0,0,9873,39412,33591,0,30260,0,0,0,103263
2015-16,16,TRIPURA,8,71,1101,368,3671,14.87,12.1,14.75,961,17.8,31.8,87.75,83.15,92.18,10486,339817,158355,4844,,4322,,,,,,,,,335,,,,,,,,,187,4055,4370,232,4821,569512,468117,84693,16702,405963,50509,40293,5696,624,149,8,3898,3002,936,4826,4806,4352,327,175,336,1,67,451,9,1366,116,75,290,1,62,207,7,758,252,213,107,0,20,165,3,760,351,272,117,1,24,189,3,957,1378,129,9,1,5,22,3,1547,2252,1165,308,0,63,535,8,4331,1965,1097,299,0,57,519,8,3945,2204,1159,307,0,63,532,8,4273,1764,186,2,0,2,6,3,1963,2267,1169,315,1,67,537,9,4365,9961,8411,2669,7,330,3634,34,25046,10638,12577,11239,13,1690,10339,117,46613,2856,3065,4237,7,475,2889,60,0,13589,7782,9512,7002,6,1215,7450,57,33024,58998,72409,73062,87,4602,69660,504,279322
2015-16,17,MEGHALAYA,11,41,6166,609,2964,15.32,18.75,27.82,986,0.6,86.1,75.48,73.78,77.17,22429,388745,167695,13277,,7764,,,,,,,,,5398,,,,,,,,,115,7432,11345,4942,13208,775613,379770,388651,7192,349363,314831,22924,20721,503,1998,997,7551,4392,2254,11349,11581,8314,1115,98,29,1215,28,93,127,2705,331,50,26,676,27,71,103,1284,1839,6,7,947,7,3,26,2835,2395,14,12,1149,10,14,38,3632,2864,112,4,1927,0,38,17,4962,7841,20,2,3117,6,6,67,11059,6979,19,1,2559,5,5,59,9627,7686,20,1,3017,6,6,66,10802,6048,27,0,2253,1,10,27,8366,7868,21,10,3144,17,12,98,11170,26899,1276,374,11129,199,971,627,41475,23517,1479,1026,14089,693,1538,1806,44148,13451,1077,698,6628,355,1106,916,0,24231,10066,402,328,7461,338,432,890,19917,245621,15094,8352,93654,3656,13559,12872,393293
2015-16,18,ASSAM,27,145,21833,3416,31169,11.03,14.47,16.93,954,7.2,12.4,73.18,67.27,78.81,78438,3506540,1838910,65894,,50143,,,,,,,,,7839,,,,,,,,,7912,47764,54073,6999,64642,5432053,4140192,955449,336412,3806970,739240,204554,73872,23575,12471,1337,54335,37171,18742,55372,53929,56568,5027,1094,228,3456,642,1322,1081,12850,571,606,194,2064,567,895,834,5731,21175,662,42,3314,92,60,159,25504,22636,762,62,3826,159,199,324,27968,6029,871,104,604,25,810,58,8501,40209,953,2,10285,628,7,1100,53184,29765,707,2,4399,424,6,677,35980,39136,931,2,9925,620,7,1077,51698,25480,329,7,4200,41,106,229,30392,40444,956,44,10660,543,20,898,53565,128723,14504,3514,41269,4331,15752,5950,214043,133900,19917,5614,77458,18370,26239,20503,302001,49893,8444,3109,19555,6626,14422,7150,0,109199,84007,11473,2505,57903,11744,11817,13353,192802,1606264,131035,55567,583847,67005,183652,100285,2727655
2015-16,19,WEST BENGAL,21,470,41179,3799,991348,24.55,11.07,13.93,947,23.5,5.8,77.08,71.16,82.67,88752,7843098,4549909,95723,,82737,,,,,,,,,9754,,,,,,,,,3232,73072,82990,7156,92932,12909034,11193885,1143436,571713,9437510,813785,453965,85432,26249,5600,3510,84691,38652,40962,92940,90797,94207,54594,1161,581,3845,6119,323,2724,69347,3597,598,455,738,5023,232,1481,12124,25420,114,113,2180,3260,50,1324,32461,27448,162,132,2643,3458,58,1415,35316,16115,628,99,6521,93,131,142,23729,66413,100,65,6462,5860,17,2631,81548,55965,54,39,4615,4742,10,1977,67402,63890,85,46,6087,5573,13,2406,78100,29059,388,90,1428,51,76,179,31271,33428,103,72,4185,5250,29,2328,45395,294360,12365,9728,28340,78017,3910,22878,449598,300391,14472,17553,29092,162379,5331,36428,565646,139215,6226,10708,6506,60148,2544,15854,0,241201,161062,8197,6790,22572,102210,2785,20574,324190,3033770,104855,146976,533658,2057555,45222,527554,6449590
2015-16,20,JHARKHAND,24,260,27862,2264,32966,18.18,15.89,22.34,947,12.1,26.2,67.63,56.21,78.45,79714,4077439,2013642,47441,,40437,,,,,,,,,2586,,,,,,,,,4418,38694,41571,1872,46793,6522068,4729025,929811,863232,4421721,504215,124004,25992,31870,407,7780,25306,19210,13527,45665,45166,44360,1774,3552,326,61,264,858,338,7173,976,2066,311,36,264,676,325,4654,5507,3717,39,16,43,444,52,9818,7825,4622,58,28,87,555,95,13270,19641,2463,71,38,308,246,76,22843,26063,13081,25,34,119,1335,158,40815,16050,10268,14,23,73,1096,73,27597,25725,12894,25,34,107,1322,141,40248,13685,686,5,56,70,28,129,14659,26181,13073,43,31,267,1349,177,41121,92258,125475,7618,556,2004,20625,3254,251790,57498,85359,10566,491,2878,19836,5238,181866,17967,27840,5446,198,1491,7238,1803,0,61983,39531,57519,5120,293,1387,12597,3435,119882,867513,1731749,141729,10002,38561,366975,60042,3217775
